Alwernia;50STP04MIN;19STP31MIN
Andrychów;49STP52MIN;19STP20MIN
Annopol;50STP53MIN;21STP52MIN
Augustów;53STP51MIN;22STP58MIN
Babimost;52STP09MIN53SEC;15STP49MIN44SEC
Baborów;50STP09MIN28SEC;17STP58MIN48SEC
Barcin;52STP51MIN;17STP57MIN
Barczewo;53STP50MIN12SEC;20STP41MIN43SEC
Barlinek;52STP59MIN32SEC;15STP12MIN59SEC
Bartoszyce;54STP15MIN;20STP48MIN
Barwice;53STP44MIN;16STP21MIN
Bełchatów;51STP22MIN;19STP22MIN
Bełżyce;51STP11MIN;22STP16MIN
Będzin;50STP19MIN26SEC;19STP07MIN45SEC
Białobrzegi;51STP39MIN;20STP57MIN
Białogard;54STP00MIN11SEC;15STP59MIN32SEC
Białystok;53STP07MIN;23STP10MIN
Biecz;49STP43MIN55SEC;21STP15MIN45SEC
Bielawa;50STP42MIN;16STP37MIN
Bielsko-Biała;49STP49MIN21SEC;19STP02MIN40SEC
Bieruń;50STP05MIN23SEC;19STP05MIN34SEC
Bierutów;51STP08MIN;17STP32MIN
Bieżuń;52STP57MIN;19STP53MIN
Biłgoraj;50STP33MIN;22STP44MIN
Biskupiec;53STP51MIN;20STP57MIN
Bisztynek;54STP04MIN;20STP54MIN
Blachownia;50STP46MIN40SEC;18STP58MIN30SEC
Błaszki;51STP39MIN;18STP26MIN
Błażowa;49STP54MIN;22STP06MIN
Błonie;52STP12MIN;20STP37MIN
Bobolice;53STP57MIN;16STP35MIN
Bochnia;49STP59MIN;20STP26MIN
Bodzentyn;50STP56MIN27SEC;20STP57MIN28SEC
Bogatynia;50STP54MIN27SEC;14STP57MIN14SEC
Boguszów-Gorce;50STP45MIN21SEC;16STP12MIN18SEC
Bojanowo;51STP42MIN;16STP45MIN
Bolesławiec;51STP16MIN;15STP34MIN
Bolków;50STP56MIN;16STP06MIN
Braniewo;54STP23MIN;19STP50MIN
Brańsk;52STP45MIN;22STP50MIN
Brodnica;53STP15MIN;19STP24MIN
Brok;52STP42MIN;21STP51MIN
Brusy;53STP53MIN08SEC;17STP43MIN19SEC
Brwinów;52STP08MIN33SEC;20STP43MIN03SEC
Brzesko;49STP58MIN;20STP37MIN
Brzeszcze;50STP00MIN;19STP09MIN
Brzeziny;51STP48MIN;19STP45MIN
Brzozów;49STP41MIN43SEC;22STP01MIN10SEC
Bukowno;50STP16MIN05SEC;19STP27MIN47SEC
Bychawa;51STP01MIN;22STP32MIN
Byczyna;51STP07MIN;18STP13MIN
Bydgoszcz;53STP07MIN;18STP00MIN
Bytom;50STP20MIN54SEC;18STP54MIN56SEC
Bytów;54STP08MIN;17STP30MIN
Cedynia;52STP53MIN;14STP12MIN
Chełm;51STP09MIN;23STP29MIN
Chełmek;50STP05MIN59SEC;19STP14MIN55SEC
Chełmno;53STP21MIN57SEC;18STP25MIN22SEC
Chełmża;53STP12MIN;18STP36MIN
Chęciny;50STP48MIN10SEC;20STP28MIN02SEC
Chocianów;51STP25MIN;15STP55MIN
Chociwel;53STP28MIN;15STP20MIN
Chodecz;52STP24MIN19SEC;19STP01MIN42SEC
Chodzież;52STP59MIN24SEC;16STP54MIN43SEC
Chojna;52STP57MIN48SEC;14STP25MIN37SEC
Chojnice;53STP42MIN;17STP33MIN
Chojnów;51STP16MIN;15STP56MIN
Choroszcz;53STP08MIN35SEC;22STP59MIN08SEC
Chorzele;53STP15MIN;20STP54MIN
Chorzów;50STP18MIN;18STP57MIN
Choszczno;53STP10MIN09SEC;15STP25MIN10SEC
Chrzanów;50STP08MIN;19STP24MIN
Ciechanowiec;52STP41MIN;22STP30MIN
Ciechanów;52STP52MIN;20STP38MIN
